0.0000	138.2759	
0.0038	108.0172	
0.0076	65.1552	
0.0114	28.0000	
0.0152	12.1379	
0.0190	22.1552	
0.0228	56.5000	
0.0266	99.8966	
0.0304	131.4310	
0.0342	140.8965	
0.0380	126.7586	
0.0418	91.2759	
0.0456	50.6207	
0.0494	21.1207	
0.0532	13.9655	
0.0570	32.3448	
0.0608	69.9483	
0.0646	114.1207	
0.0684	141.5172	
0.0722	142.9828	
0.0760	119.1724	
0.0798	79.8103	
0.0836	40.9828	
0.0874	17.0862	
0.0912	19.0345	
0.0950	47.4655	
0.0988	91.1552	
0.1026	129.4310	
0.1064	146.6035	
0.1102	136.7414	
0.1140	103.4828	
0.1178	61.2414	
0.1216	26.3966	
0.1254	12.9138	
0.1292	26.9828	
0.1330	60.4138	
0.1368	98.8103	
0.1406	128.4655	
0.1444	140.0345	
0.1482	125.6897	
0.1520	91.1724	
0.1558	49.9310	
0.1596	20.3966	
0.1634	14.1207	
0.1672	33.3793	
0.1710	69.4655	
0.1748	109.8621	
0.1786	136.1552	
0.1824	137.9483	
0.1862	117.2759	
0.1900	78.9828	
0.1938	40.3448	
0.1976	17.5000	
0.2014	18.8276	
0.2052	43.4310	
0.2090	81.3448	
0.2128	117.7241	
0.2166	136.2759	
0.2204	131.3103	
0.2242	104.0862	
0.2280	65.1207	
0.2318	28.0862	
0.2356	12.5000	
0.2394	23.2759	
0.2432	55.2759	
0.2470	96.1207	
0.2508	130.0690	
0.2546	143.9483	
0.2584	131.3103	
0.2622	97.0517	
0.2660	56.6552	
0.2698	23.0517	
0.2736	12.0345	
0.2774	29.2586	
0.2812	67.6034	
0.2850	110.8276	
0.2888	140.7414	
0.2926	146.7069	
0.2964	126.3448	
0.3002	85.7931	
0.3040	43.6552	
0.3078	18.2586	
0.3116	17.8276	
0.3154	41.6034	
0.3192	82.1207	
0.3230	122.3103	
0.3268	145.6724	
0.3306	142.0690	
0.3344	112.5172	
0.3382	70.4655	
0.3420	32.4655	
0.3458	13.2931	
0.3496	21.2069	
0.3534	52.7241	
0.3572	91.6724	
0.3610	124.1724	
0.3648	138.2586	
0.3686	127.3966	
0.3724	97.8793	
0.3762	60.0862	
0.3800	27.0345	
